,ML Model,R2,RMSE
0,Decision Tree,0.9356705986502063,505.60672559657456
1,Random Forest,0.9426312180524464,477.36074402334
2,Ada Boost,0.4127011066596202,1528.0861948440154
3,XG Boost,0.9477152909182665,455.7308231748038
